post_id,title,category,score,num_comments,author,collected_at
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,625,80,armanified,2026-04-06 13:16:06
47658146,France pulls last gold held in US for $15B gain,technology,279,155,teleforce,2026-04-06 13:16:06
47659807,Ask HN: How do systems (or people) detect when a text is written by an LLM,technology,19,16,elC0mpa,2026-04-06 13:16:07
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,151,13,karimf,2026-04-06 13:16:07
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,60,17,stevebmark,2026-04-06 13:16:07
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,311,76,vbtechguy,2026-04-06 13:16:08
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,103,17,ikessler,2026-04-06 13:16:08
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,295,157,thisislife2,2026-04-06 13:16:09
47656335,Does coding with LLMs mean more microservices?,technology,48,41,jer0me,2026-04-06 13:16:09
47650312,A tail-call interpreter in (nightly) Rust,technology,176,42,g0xA52A2A,2026-04-06 13:16:09
47648828,"Eight years of wanting, three months of building with AI",technology,830,259,brilee,2026-04-06 13:16:09
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,193,26,desideratum,2026-04-06 13:16:09
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,174,50,MoltenMonster,2026-04-06 13:16:09
47658388,NIMBY Rails,technology,25,3,altilunium,2026-04-06 13:16:10
47640728,Show HN: A game where you build a GPU,technology,922,178,Jaso1024,2026-04-06 13:16:10
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,54,22,alvivanco,2026-04-06 13:16:11
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,175,113,1vuio0pswjnm7,2026-04-06 13:16:11
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,508,231,naves,2026-04-06 13:16:11
47651479,From birds to brains: My path to the fusiform face area (2024),technology,36,0,everbody,2026-04-06 13:16:11
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1080,819,firloop,2026-04-06 13:16:12
47637757,Embarrassingly simple self-distillation improves code generation,technology,643,197,Anon84,2026-04-06 13:16:12
47658215,The end of password pain: building frictionless authentication at the Guardian,technology,6,2,Tomte,2026-04-06 13:16:13
47657198,Scientists found a protein that drives brain aging – and how to stop it,technology,17,5,mikhael,2026-04-06 13:16:13
47655480,Make Humans Analog Again,technology,6,0,muunbo,2026-04-06 13:16:13
47655155,'Cognitive Surrender' Is a New and Useful Term for How AI Melts Brains,technology,40,10,mikhael,2026-04-06 13:16:13
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,890,586,zaikunzhang,2026-04-06 13:16:19
47636765,Endian wars and anti-portability: this again?,worldnews,44,52,awilfox,2026-04-06 13:16:22
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,50,15,zdw,2026-04-06 13:16:26
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,38,12,anigbrowl,2026-04-06 13:16:26
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,worldnews,151,45,jackson-mcd,2026-04-06 13:16:31
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,73,40,1659447091,2026-04-06 13:16:31
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,589,207,pretext,2026-04-06 13:16:31
47649904,Will there still be professional software developers?,worldnews,4,1,gradys,2026-04-06 13:16:34
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,17,9,1vuio0pswjnm7,2026-04-06 13:16:35
47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,47,11,cmitsakis,2026-04-06 13:16:36
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,45,24,tosh,2026-04-06 13:16:38
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-06 13:16:38
47651140,Ask HN: Where are all the disruptive software that AI promised?,worldnews,16,14,p-o,2026-04-06 13:16:40
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",worldnews,6,2,rrvsh,2026-04-06 13:16:40
47653816,UK intelligence censored report on global warming and homeland security,worldnews,95,53,ewidar,2026-04-06 13:16:41
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,worldnews,132,10,01-_-,2026-04-06 13:16:44
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,worldnews,36,7,j0rg3,2026-04-06 13:16:45
47648102,Every dependency you add is a supply chain attack waiting to happen,worldnews,8,0,birdculture,2026-04-06 13:16:46
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-06 13:16:46
47657396,US-Iran war explained by Chinese AI animation: Legend of the Valley of Gold [video],worldnews,5,0,Eridanus2,2026-04-06 13:16:47
47616157,Software never had a soul,worldnews,20,17,firloop,2026-04-06 13:16:49
47650022,Banray.eu: Raising awareness of the terrible idea that is always-on AI glasses,worldnews,35,19,ChrisArchitect,2026-04-06 13:16:49
47651502,The Therac-25 software radiation disaster,worldnews,7,2,bithavoc,2026-04-06 13:16:49
47638085,I attacked myself with Google Spreadsheets (2012),worldnews,3,1,downbad_,2026-04-06 13:16:51
47633734,ENiGMA½ BBS Software,worldnews,10,1,NuSkooler,2026-04-06 13:16:52
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,168,112,keepamovin,2026-04-06 13:16:55
47637377,LÖVE: 2D Game Framework for Lua,sports,337,165,cl3misch,2026-04-06 13:16:55
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,219,143,pseudolus,2026-04-06 13:17:06
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-06 13:17:06
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,781,365,hkmaxpro,2026-04-06 13:17:09
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-06 13:17:10
47641615,Sopwith – 1984 Game (2000),sports,97,42,elvis70,2026-04-06 13:17:10
47650234,Panorama – AI that finds your team's workflows and hidden structures,sports,6,1,bryantwolf,2026-04-06 13:17:11
47645609,Karpathy's knowledge base matches our Grep-is-All-You-Need paper,sports,4,0,localkin,2026-04-06 13:17:20
47651019,PS3 emulator makes Cell CPU breakthrough that improves performance in all games,sports,8,0,gloxkiqcza,2026-04-06 13:17:23
47642552,Nandgame – Build a Computer from Scratch,sports,7,0,Vortigaunt,2026-04-06 13:17:24
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",sports,25,14,arttaboi,2026-04-06 13:17:26
47632901,Sandbox Strategy Game for AI,sports,6,0,Stefan_Golas,2026-04-06 13:17:31
47602986,Show HN: Real-time dashboard for Claude Code agent teams,sports,76,28,simple10,2026-04-06 13:17:32
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,87,40,salt4034,2026-04-06 13:17:40
47650502,Computational Physics (2nd Edition) (2025),science,154,20,teleforce,2026-04-06 13:17:41
47607408,Scientists Figured Out How Eels Reproduce (2022),science,118,22,thunderbong,2026-04-06 13:17:42
47637077,Scientists mapped all the nerves of the clitoris for the first time,science,41,9,01-_-,2026-04-06 13:17:43
47648404,My Google Workspace account suspension,science,356,211,zenincognito,2026-04-06 13:17:44
47629485,A case study in testing with 100+ Claude agents in parallel,science,63,50,thejash,2026-04-06 13:17:48
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-06 13:17:52
47641464,Scientists observe an immune signaling complex forming inside cells,science,113,7,ohjeez,2026-04-06 13:17:53
47604155,SpaceX files to go public,science,398,576,nutjob2,2026-04-06 13:17:59
47648226,SpaceX and OpenAI: The Mega IPO Grift [video],science,26,10,throw0101c,2026-04-06 13:18:00
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,98,42,Bender,2026-04-06 13:18:05
47605374,Scientists crack a 20-year nuclear mystery behind the creation of gold,science,87,39,prabal97,2026-04-06 13:18:05
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-06 13:18:09
47653630,Trump Slashed Science Funding. Now the U.S. Could Face a Costly Brain Drain,science,23,1,JumpCrisscross,2026-04-06 13:18:10
47656678,"Musk asks SpaceX IPO banks to buy Grok AI subscriptions, NYT reports",science,8,0,1vuio0pswjnm7,2026-04-06 13:18:10
47645926,The Spaceballs sequel will be released in April next year,science,8,1,WaitWaitWha,2026-04-06 13:18:11
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,14,11,bookmtn,2026-04-06 13:18:13
47654226,Trump proposes steep cut to NASA budget as astronauts head for the Moon,science,8,0,rbanffy,2026-04-06 13:18:18
