post_id,title,category,score,num_comments,author,collected_at,title_length,engagement,comments_to_score_ratio,predicted_category,is_correct
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,625,80,armanified,2026-04-06 13:16:06,65,705,0.12779552715654952,technology,True
47658146,France pulls last gold held in US for $15B gain,technology,279,155,teleforce,2026-04-06 13:16:06,47,434,0.5535714285714286,technology,True
47659807,Ask HN: How do systems (or people) detect when a text is written by an LLM,technology,19,16,elC0mpa,2026-04-06 13:16:07,74,35,0.8,technology,True
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,151,13,karimf,2026-04-06 13:16:07,77,164,0.08552631578947369,worldnews,False
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,60,17,stevebmark,2026-04-06 13:16:07,76,77,0.2786885245901639,technology,True
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,311,76,vbtechguy,2026-04-06 13:16:08,73,387,0.24358974358974358,technology,True
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,103,17,ikessler,2026-04-06 13:16:08,75,120,0.16346153846153846,technology,True
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,295,157,thisislife2,2026-04-06 13:16:09,78,452,0.5304054054054054,technology,True
47656335,Does coding with LLMs mean more microservices?,technology,48,41,jer0me,2026-04-06 13:16:09,46,89,0.8367346938775511,technology,True
47650312,A tail-call interpreter in (nightly) Rust,technology,176,42,g0xA52A2A,2026-04-06 13:16:09,41,218,0.23728813559322035,technology,True
47648828,"Eight years of wanting, three months of building with AI",technology,830,259,brilee,2026-04-06 13:16:09,56,1089,0.31167268351383876,technology,True
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,193,26,desideratum,2026-04-06 13:16:09,68,219,0.13402061855670103,technology,True
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,174,50,MoltenMonster,2026-04-06 13:16:09,76,224,0.2857142857142857,technology,True
47658388,NIMBY Rails,technology,25,3,altilunium,2026-04-06 13:16:10,11,28,0.11538461538461539,technology,True
